"Brand","Model","KM Driven","Km/L","Range (Electric)","Gear","Motor Specs","Price","GPS","Trailer Hitch","4WD","Parkingsensor","Cruise Control","Antispin","ESP","El-Sæder","Leather Interior","Glass Roof","Headup Display","Isofix","Klimaanlæg","Regnsensor","Soltag","Sports Package","Seatwarmer","Xenon Lights","Non-Smoker","One-Owner","Service OK","Nysynet","Demo Car","Partly Leather Interior","CVR/Engros","Full Leather","Adaptive Cruise Control","Link","Year","Fuel_Type","Horsepower"
"Mercedes","EQC400",11000,NA,407,"Automatgear","El

300 kW

408 HK",599900,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","Yes","No","No","Yes","https://www.autouncle.dk/da/d/4818415-brugt-mercedes-eqc400-amg-line-4matic",2020,"El",408
"Mercedes","EQC400",35000,22.3,411,"Automatgear","El

300 kW

408 HK",569900,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","No","No","Yes","https://www.autouncle.dk/da/d/4818080-brugt-mercedes-eqc400-amg-line-4matic",2020,"El",408
"Mercedes","EQC400",20000,22.3,411,"Automatgear","El

300 kW

408 HK",549900,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","https://www.autouncle.dk/da/d/4818079-brugt-mercedes-eqc400-amg-line-4matic",2020,"El",408
"Mercedes","EQC400",39000,22.3,411,"Automatgear","El

300 kW

408 HK",529900,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","No","No","Yes","https://www.autouncle.dk/da/d/4818078-brugt-mercedes-eqc400-amg-line-4matic",2020,"El",408
"Mercedes","EQB300",14000,NA,420,"Automatgear","El

167 kW

228 HK",399900,"Yes","No","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No","No","Yes","https://www.autouncle.dk/da/d/4811929-brugt-mercedes-eqb300-amg-line-4matic",2020,"El",228
"Mercedes","EQC400",24000,NA,407,"Automatgear","El

300 kW

408 HK",549900,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes","No","Yes","https://www.autouncle.dk/da/d/4809311-brugt-mercedes-eqc400-amg-line-4matic",2020,"El",408
"Mercedes","EQB250",8000,NA,469,"Automatgear","El

139 kW

190 HK",369900,"Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","No","Yes","No","No","https://www.autouncle.dk/da/d/4770107-brugt-mercedes-eqb250-amg-line",2020,"El",190
"Mercedes","EQA250",36000,NA,416,"Automatgear","El

139 kW

190 HK",399900,"Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes","No","Yes","https://www.autouncle.dk/da/d/4762118-brugt-mercedes-eqa250-amg-line",2020,"El",190
"Mercedes","EQC400",34000,NA,390,"Automatgear","El

300 kW

408 HK",529900,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","No","Yes","https://www.autouncle.dk/da/d/4751508-brugt-mercedes-eqc400-amg-line-4matic",2020,"El",408
"Mercedes","EQA250",28000,NA,424,"Automatgear","El

139 kW

190 HK",364800,"Yes","No","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","Yes","Yes","No","No","Yes","https://www.autouncle.dk/da/d/4743559-brugt-mercedes-eqa250-amg-line",2020,"El",190
"Mercedes","EQA250",50000,NA,424,"Automatgear","El

139 kW

190 HK",339900,"Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","https://www.autouncle.dk/da/d/4830750-brugt-mercedes-eqa250-amg-line",2020,"El",190
"Mercedes","EQA250",26000,NA,424,"Automatgear","El

139 kW

190 HK",324900,"Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","Yes","https://www.autouncle.dk/da/d/4828909-brugt-mercedes-eqa250-progressive",2020,"El",190
"Mercedes","EQA250",25000,NA,424,"Automatgear","El

139 kW

190 HK",369900,"Yes","No","No","No","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","https://www.autouncle.dk/da/d/4725324-brugt-mercedes-eqa250-amg-line",2020,"El",190
"Mercedes","EQB250",18500,NA,469,"Automatgear","El

139 kW

190 HK",369900,"Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","Yes","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","Yes","No","Yes","https://www.autouncle.dk/da/d/4825292-brugt-mercedes-eqb250-amg-line",2020,"El",190
"Mercedes","EQA250",9500,NA,492,"Automatgear","El

139 kW

190 HK",419800,"Yes","Yes","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","Yes","https://www.autouncle.dk/da/d/4813396-brugt-mercedes-eqa250-amg-line",2020,"El",190
"Mercedes","EQB300",10000,NA,420,"Automatgear","El

167 kW

228 HK",389800,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","https://www.autouncle.dk/da/d/4812565-brugt-mercedes-eqb300-amg-line-4matic",2020,"El",228
"Mercedes","EQB300",19000,NA,420,"Automatgear","El

167 kW

228 HK",384800,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","https://www.autouncle.dk/da/d/4812564-brugt-mercedes-eqb300-amg-line-4matic",2020,"El",228
"Mercedes","EQC400",13000,22.3,411,"Automatgear","El

300 kW

408 HK",599900,"Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","https://www.autouncle.dk/da/d/4768687-brugt-mercedes-eqc400-amg-line-4matic",2020,"El",408
"Mercedes","EQB300",11000,NA,420,"Automatgear","El

167 kW

228 HK",389800,"Yes","No","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","https://www.autouncle.dk/da/d/4659671-brugt-mercedes-eqb300-progressive-4matic",2020,"El",228
