Brand,Model,KM Driven,Km/L,Range (Electric),Gear,Price,GPS,Trailer Hitch,4WD,Parkingsensor,Cruise Control,Antispin,ESP,El-Sæder,Leather Interior,Glass Roof,Headup Display,Isofix,Klimaanlæg,Regnsensor,Soltag,Sports Package,Seatwarmer,Xenon Lights,Non-Smoker,One-Owner,Service OK,Nysynet,Demo Car,Partly Leather Interior,CVR/Engros,Full Leather,Adaptive Cruise Control,Link,Year,Fuel_Type,Horsepower
Mazda,MX30,65.0,18.0,200.0,Automatgear,197000.0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,https://www.autouncle.dk/da/d/4561504-ny-mazda-mx30-e-skyactive-exclusive-line,2020,El,145.0
Mercedes,EQA250,28000.0,18.0,424.0,Automatgear,299900.0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,https://www.autouncle.dk/da/d/4833691-brugt-mercedes-eqa250,2020,El,190.0
Mercedes,EQE350,9000.0,18.0,597.0,Automatgear,545000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4830959-brugt-mercedes-eqe350-electric-art-4-dors,2023,El,292.0
Mercedes,EQB250,9000.0,16.0,474.0,Automatgear,329000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4784885-brugt-mercedes-eqb250-5-ars-100-garanti-proppet-med-udstyr,2022,El,190.0
Mercedes,EQB250,8000.0,16.0,474.0,Automatgear,399000.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4701233-brugt-mercedes-eqb250-250,2022,El,190.0
Mini,Cooper,9000.0,16.0,231.0,Automatgear,199900.0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,https://www.autouncle.dk/da/d/4410164-brugt-mini-cooper-se,2020,El,184.0
Mini,Cooper,19000.0,16.0,231.0,Automatgear,184800.0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,https://www.autouncle.dk/da/d/4772912-brugt-mini-cooper-se-classic-trim,2020,El,184.0
Mini,Cooper,6058.0,16.0,226.0,Automatgear,227900.0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4311269-brugt-mini-cooper-se-maximise,2020,El,184.0
Mini,Cooper,5200.0,16.0,228.0,Automatgear,237900.0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,https://www.autouncle.dk/da/d/4311270-brugt-mini-cooper-se-resolute-edition,2020,El,184.0
Mini,Cooper,72000.0,15.0,234.0,Automatgear,139900.0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://www.autouncle.dk/da/d/4788651-brugt-mini-cooper-se-essential,2020,El,184.0
